timestamp,open,high,low,close,volume,MACD,MACD_signal,MACD_diff,Stoch_RSI,SAR,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,,,,,7175.15,,,
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,,,,,6924.74,,,
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,,,,,6871.04,,,
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,,,,,6871.04,,,
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,,,,,6892.3984,,,
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,,,,,6928.554496,,,
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,,,,,6997.897336319999,,,
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,,,,,7118.875602687999,,,
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,,,,,7279.210530365439,,,
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,,,,,7420.305266721586,,,
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,,,,,7544.4686347149955,,,
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,,,,,7653.732398549196,,,
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,,,,,7749.884510723292,,,
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,,,,,7834.498369436496,,,
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,,,,,7980.868597715387,,,
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,,,,,8130.566422080925,,,
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,,,,,8256.312594547977,,,
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,,,,,8397.67332752934,,,
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,,,,,8466.0,,,
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,,,,,8466.0,8101.9235,9317.407857731929,6886.439142268071
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,,,,,8488.0,8178.6825,9349.94932175967,7007.41567824033
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,,,,,8488.0,8264.515000000001,9312.787313466306,7216.2426865336965
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,,,,,8306.39,8317.493,9277.936735803405,7357.049264196596
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,,,,,8238.0,8371.7375,9224.974709570117,7518.500290429883
2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932,,,,,8238.0,8420.829,9137.305976068315,7704.352023931683
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,252.95294123253007,,,,8254.9,8463.679,9116.110441636589,7811.2475583634105
2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.542996,266.2184886256455,,,0.5154995924146797,8293.66,8501.7935,9164.35533479808,7839.23166520192
2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.853765,310.8027381373395,,,0.8000107012615655,8474.724,8567.705,9298.514863192879,7836.89513680712
2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.065122,336.39367165063595,,,0.7436088572715359,8659.7792,8641.8935,9354.131976587016,7929.6550234129845
2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.744259,369.49615606531734,,,0.8660072452181362,8817.67136,8707.703,9483.728829985053,7931.677170014947
2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.022352,378.43130874274357,,,0.6398969220136264,8969.737088,8774.347,9531.393444020436,8017.300555979563
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354,383.6495473504965,,,0.763183016299196,9091.3896704,8834.3285,9585.15583749577,8083.501162504231
2020-02-02,9384.41,9477.03,9120.0,9331.51,45690.91254,379.12993888249,,,0.6726712286443304,9120.0,8895.386999999999,9597.836391916586,8192.937608083412
2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.133451,368.1357164202909,344.3609509948986,23.77476542539233,0.60374711214355,9120.0,8919.4985,9641.405907339045,8197.591092660954
2020-02-04,9291.35,9350.0,9093.01,9197.02,53308.175266,347.730833107511,345.0349274174211,2.6959056900898872,0.43579893964374555,9093.01,8938.278999999999,9668.497352190618,8208.06064780938
2020-02-05,9197.02,9744.45,9177.22,9612.04,64870.415615,360.8883651774704,348.205614969431,12.682750208039408,0.8087244793751465,9093.01,8982.880500000001,9761.677118135301,8204.0838818647
2020-02-06,9612.03,9862.57,9526.35,9772.0,64949.706588,379.84462688268104,354.533417352081,25.311209530600024,0.9258970321218769,9177.22,9025.8165,9875.9478093699,8175.685190630101
2020-02-07,9772.0,9885.0,9730.0,9813.73,43966.114632,393.6965740661635,362.3660486948976,31.330525371265935,0.9558691068443164,9314.289999999999,9070.704999999998,9985.260181506275,8156.149818493722
2020-02-08,9813.87,9940.0,9667.11,9895.05,43600.843666,406.5497341208429,371.2027857800867,35.34694834075623,1.0,9428.431999999999,9130.372500000001,10095.17628087722,8165.568719122783
2020-02-09,9895.04,10166.0,9880.75,10151.75,43408.475616,432.4643212392293,383.45509287191527,49.00922836731405,1.0,9530.745599999998,9205.8425,10239.80219911548,8171.882800884521
